Data Download from NCSES Interactive Data Tool

Filters,Selected values
"Institution Name","8 of 1070"

,,,,"<measures>","Graduate Students by Demographic Characteristics and Enrollment",
"2016","Harvard University","Linguistics","Returning Students","Female","15",
"2016","Harvard University","Linguistics","Returning Students","Male","6",
"2016","Harvard University","Mathematics and applied mathematics","Total for selected values","Total for selected values","85",
"2016","Harvard University","Mathematics and applied mathematics","First Time Students","Total for selected values","17",
"2016","Harvard University","Mathematics and applied mathematics","First Time Students","Female","4",
"2016","Harvard University","Mathematics and applied mathematics","First Time Students","Male","13",
"2016","Harvard University","Mathematics and applied mathematics","Returning Students","Total for selected values","68",
"2016","Harvard University","Mathematics and applied mathematics","Returning Students","Female","12",
"2016","Harvard University","Mathematics and applied mathematics","Returning Students","Male","56",
"2016","Harvard University","Microbiology, immunology, and virology","Total for selected values","Total for selected values","126",
"2016","Harvard University","Microbiology, immunology, and virology","First Time Students","Total for selected values","16",
"2016","Harvard University","Microbiology, immunology, and virology","First Time Students","Female","9",
"2016","Harvard University","Microbiology, immunology, and virology","First Time Students","Male","7",
"2016","Harvard University","Microbiology, immunology, and virology","Returning Students","Total for selected values","110",
"2016","Harvard University","Microbiology, immunology, and virology","Returning Students","Female","56",
"2016","Harvard University","Microbiology, immunology, and virology","Returning Students","Male","54",
"2016","Harvard University","Neurobiology and neuroscience","Total for selected values","Total for selected values","105",
"2016","Harvard University","Neurobiology and neuroscience","First Time Students","Total for selected values","21",
"2016","Harvard University","Neurobiology and neuroscience","First Time Students","Female","9",
"2016","Harvard University","Neurobiology and neuroscience","First Time Students","Male","12",
"2016","Harvard University","Neurobiology and neuroscience","Returning Students","Total for selected values","84",
"2016","Harvard University","Neurobiology and neuroscience","Returning Students","Female","38",
"2016","Harvard University","Neurobiology and neuroscience","Returning Students","Male","46",
"2016","Harvard University","Nutrition","Total for selected values","Total for selected values","22",
"2016","Harvard University","Nutrition","First Time Students","Total for selected values","22",
"2016","Harvard University","Nutrition","First Time Students","Female","11",
"2016","Harvard University","Nutrition","First Time Students","Male","11",
"2016","Harvard University","Physics","Total for selected values","Total for selected values","336",
"2016","Harvard University","Physics","First Time Students","Total for selected values","49",
"2016","Harvard University","Physics","First Time Students","Female","17",
"2016","Harvard University","Physics","First Time Students","Male","32",
"2016","Harvard University","Physics","Returning Students","Total for selected values","287",
"2016","Harvard University","Physics","Returning Students","Female","85",
"2016","Harvard University","Physics","Returning Students","Male","202",
"2016","Harvard University","Political science and government","Total for selected values","Total for selected values","1,398",
"2016","Harvard University","Political science and government","First Time Students","Total for selected values","724",
"2016","Harvard University","Political science and government","First Time Students","Female","323",
"2016","Harvard University","Political science and government","First Time Students","Male","401",
"2016","Harvard University","Political science and government","Not collected","Total for selected values","76",
"2016","Harvard University","Political science and government","Not collected","Female","21",
"2016","Harvard University","Political science and government","Not collected","Male","55",
"2016","Harvard University","Political science and government","Returning Students","Total for selected values","598",
"2016","Harvard University","Political science and government","Returning Students","Female","288",
